id,title,description,availability,condition,price,link,image_link,brand
13712,Infinity kanecalon californiano tr-m4,infinity kanecalon californiano tr-m4,in stock,new,11700,https://almacensandra.com.co/product/p-13712-infinity-kanecalon-californiano-tr-m4,https://casandra-static.s3.amazonaws.com/products/13712/81327.jpg,ULTRA NUTRIT
13718,Infinity kanecalon californiano tr-m13,infinity kanecalon californiano tr-m13,in stock,new,11700,https://almacensandra.com.co/product/p-13718-infinity-kanecalon-californiano-tr-m13,https://casandra-static.s3.amazonaws.com/products/13718/81338.jpg,ULTRA NUTRIT
13720,Infinity kanecalon californiano tr-m40,infinity kanecalon californiano tr-m40,in stock,new,11700,https://almacensandra.com.co/product/p-13720-infinity-kanecalon-californiano-tr-m40,https://casandra-static.s3.amazonaws.com/products/13720/81340.jpg,ULTRA NUTRIT
13728,Infinity kanecalon californiano tr-m28,infinity kanecalon californiano tr-m28,in stock,new,11700,https://almacensandra.com.co/product/p-13728-infinity-kanecalon-californiano-tr-m28,https://casandra-static.s3.amazonaws.com/products/13728/81348.jpg,ULTRA NUTRIT
13747,Infinity kanecalon tr-iiipink,infinity kanecalon tr-iiipink,in stock,new,10900,https://almacensandra.com.co/product/p-13747-infinity-kanecalon-tr-iiipink,https://casandra-static.s3.amazonaws.com/products/13747/81355.jpg,ULTRA NUTRIT
13750,Infinity kanecalon tr-iiipurple,infinity kanecalon tr-iiipurple,in stock,new,10900,https://almacensandra.com.co/product/p-13750-infinity-kanecalon-tr-iiipurple,https://casandra-static.s3.amazonaws.com/products/13750/81358.jpg,ULTRA NUTRIT
13751,Pearl ampolla  embrion de pato aceite oliva y argan  x 12ml,pearl ampolla  embrion de pato aceite oliva y argan  x 12ml,in stock,new,1500,https://almacensandra.com.co/product/p-13751-pearl-ampolla-embrion-de-pato-aceite-oliva-y-argan-x-12ml,https://casandra-static.s3.amazonaws.com/products/13751/81360.jpg,HAIR SALOON
13754,Anipa esmalte semipermanente n 50,anipa esmalte semipermanente n 50,in stock,new,6500,https://almacensandra.com.co/product/p-13754-anipa-esmalte-semipermanente-n-50,https://casandra-static.s3.amazonaws.com/products/13754/81364.jpg,FLOWER
13755,Anipa esmalte semipermanente n 55,anipa esmalte semipermanente n 55,in stock,new,6500,https://almacensandra.com.co/product/p-13755-anipa-esmalte-semipermanente-n-55,https://casandra-static.s3.amazonaws.com/products/13755/81365.jpg,FLOWER
13756,Anipa esmalte semipermanente n 69,anipa esmalte semipermanente n 69,in stock,new,6500,https://almacensandra.com.co/product/p-13756-anipa-esmalte-semipermanente-n-69,https://casandra-static.s3.amazonaws.com/products/13756/81366.jpg,FLOWER
13757,Anipa esmalte semipermanente n 78,anipa esmalte semipermanente n 78,in stock,new,6500,https://almacensandra.com.co/product/p-13757-anipa-esmalte-semipermanente-n-78,https://casandra-static.s3.amazonaws.com/products/13757/81368.jpg,FLOWER
13758,Anipa esmalte semipermanente n 47,anipa esmalte semipermanente n 47,in stock,new,6500,https://almacensandra.com.co/product/p-13758-anipa-esmalte-semipermanente-n-47,https://casandra-static.s3.amazonaws.com/products/13758/81369.jpg,FLOWER
13759,Anipa esmalte semipermanente n 38,anipa esmalte semipermanente n 38,in stock,new,6500,https://almacensandra.com.co/product/p-13759-anipa-esmalte-semipermanente-n-38,https://casandra-static.s3.amazonaws.com/products/13759/81370.jpg,FLOWER
13760,Anipa esmalte semipermanente n 49,anipa esmalte semipermanente n 49,in stock,new,6500,https://almacensandra.com.co/product/p-13760-anipa-esmalte-semipermanente-n-49,https://casandra-static.s3.amazonaws.com/products/13760/81372.jpg,FLOWER
13761,Anipa esmalte semipermanente n 45,anipa esmalte semipermanente n 45,in stock,new,6500,https://almacensandra.com.co/product/p-13761-anipa-esmalte-semipermanente-n-45,https://casandra-static.s3.amazonaws.com/products/13761/81373.jpg,FLOWER
13762,Anipa esmalte semipermanente n 17,anipa esmalte semipermanente n 17,in stock,new,6500,https://almacensandra.com.co/product/p-13762-anipa-esmalte-semipermanente-n-17,https://casandra-static.s3.amazonaws.com/products/13762/81375.jpg,FLOWER
13763,Anipa esmalte semipermanente n 80,anipa esmalte semipermanente n 80,in stock,new,6500,https://almacensandra.com.co/product/p-13763-anipa-esmalte-semipermanente-n-80,https://casandra-static.s3.amazonaws.com/products/13763/81376.jpg,FLOWER
13764,Anipa esmalte semipermanente n 44,anipa esmalte semipermanente n 44,in stock,new,6500,https://almacensandra.com.co/product/p-13764-anipa-esmalte-semipermanente-n-44,https://casandra-static.s3.amazonaws.com/products/13764/81377.jpg,FLOWER
13765,Anipa esmalte semipermanente n 42,anipa esmalte semipermanente n 42,in stock,new,6500,https://almacensandra.com.co/product/p-13765-anipa-esmalte-semipermanente-n-42,https://casandra-static.s3.amazonaws.com/products/13765/81378.jpg,FLOWER
13766,Anipa esmalte semipermanente n 41,anipa esmalte semipermanente n 41,in stock,new,6500,https://almacensandra.com.co/product/p-13766-anipa-esmalte-semipermanente-n-41,https://casandra-static.s3.amazonaws.com/products/13766/81379.jpg,FLOWER
