sku_id,title,price,description,availability,image,link
15635,Masglo esmalte  gel polish emocional  x 7 ml,17200 COP,masglo esmalte  gel polish emocional  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15635/84159.jpg,https://almacensandra.com.co/product/p-15635-masglo-esmalte-gel-polish-emocional-x-7-ml
15636,Masglo esmalte  gel polish exagerada  x 7 ml,17200 COP,masglo esmalte  gel polish exagerada  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15636/84160.jpg,https://almacensandra.com.co/product/p-15636-masglo-esmalte-gel-polish-exagerada-x-7-ml
15637,Masglo esmalte  gel polish exigente  x 7 ml,17200 COP,masglo esmalte  gel polish exigente  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15637/84161.jpg,https://almacensandra.com.co/product/p-15637-masglo-esmalte-gel-polish-exigente-x-7-ml
15638,Masglo esmalte  gel polish fashionista  x 7 ml,17200 COP,masglo esmalte  gel polish fashionista  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15638/84162.jpg,https://almacensandra.com.co/product/p-15638-masglo-esmalte-gel-polish-fashionista-x-7-ml
15639,Masglo esmalte  gel polish fiesta  x 7 ml,17200 COP,masglo esmalte  gel polish fiesta  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15639/84163.jpg,https://almacensandra.com.co/product/p-15639-masglo-esmalte-gel-polish-fiesta-x-7-ml
15640,Masglo esmalte  gel polish frances  x 7 ml,17200 COP,masglo esmalte  gel polish frances  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15640/84164.jpg,https://almacensandra.com.co/product/p-15640-masglo-esmalte-gel-polish-frances-x-7-ml
15641,Masglo esmalte  gel polish frentera  x 7 ml,17200 COP,masglo esmalte  gel polish frentera  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15641/84165.jpg,https://almacensandra.com.co/product/p-15641-masglo-esmalte-gel-polish-frentera-x-7-ml
15642,Masglo esmalte  gel polish golosa  x 7 ml,17200 COP,masglo esmalte  gel polish golosa  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15642/84166.jpg,https://almacensandra.com.co/product/p-15642-masglo-esmalte-gel-polish-golosa-x-7-ml
15643,Masglo esmalte  gel polish gomela  x 7 ml,17200 COP,masglo esmalte  gel polish gomela  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15643/84167.jpg,https://almacensandra.com.co/product/p-15643-masglo-esmalte-gel-polish-gomela-x-7-ml
15646,Masglo esmalte  gel polish juiciosa  x 7 ml,17200 COP,masglo esmalte  gel polish juiciosa  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15646/84170.jpg,https://almacensandra.com.co/product/p-15646-masglo-esmalte-gel-polish-juiciosa-x-7-ml
15647,Masglo esmalte  gel polish virginal x 7 ml,17200 COP,masglo esmalte  gel polish virginal x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15647/84171.jpg,https://almacensandra.com.co/product/p-15647-masglo-esmalte-gel-polish-virginal-x-7-ml
15648,Masglo esmalte  gel polish matrimonio x 7 ml,17200 COP,masglo esmalte  gel polish matrimonio x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15648/84172.jpg,https://almacensandra.com.co/product/p-15648-masglo-esmalte-gel-polish-matrimonio-x-7-ml
15649,Masglo esmalte  gel polish mimada x 7 ml,17200 COP,masglo esmalte  gel polish mimada x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15649/84173.jpg,https://almacensandra.com.co/product/p-15649-masglo-esmalte-gel-polish-mimada-x-7-ml
15650,Masglo esmalte  gel polish moderada  x 7 ml,17200 COP,masglo esmalte  gel polish moderada  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15650/84174.jpg,https://almacensandra.com.co/product/p-15650-masglo-esmalte-gel-polish-moderada-x-7-ml
15652,Masglo esmalte  gel polish negro  x 7 ml,17200 COP,masglo esmalte  gel polish negro  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15652/84176.jpg,https://almacensandra.com.co/product/p-15652-masglo-esmalte-gel-polish-negro-x-7-ml
15653,Masglo esmalte  gel polish nieve  x 7 ml,17200 COP,masglo esmalte  gel polish nieve  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15653/84177.jpg,https://almacensandra.com.co/product/p-15653-masglo-esmalte-gel-polish-nieve-x-7-ml
15654,Masglo esmalte  gel polish novia  x 7 ml,17200 COP,masglo esmalte  gel polish novia  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15654/84178.jpg,https://almacensandra.com.co/product/p-15654-masglo-esmalte-gel-polish-novia-x-7-ml
15655,Masglo esmalte  gel polish silenciosa  x 7 ml,17200 COP,masglo esmalte  gel polish silenciosa  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15655/84179.jpg,https://almacensandra.com.co/product/p-15655-masglo-esmalte-gel-polish-silenciosa-x-7-ml
15656,Masglo esmalte  gel polish tiza  x 7 ml,17200 COP,masglo esmalte  gel polish tiza  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15656/84180.jpg,https://almacensandra.com.co/product/p-15656-masglo-esmalte-gel-polish-tiza-x-7-ml
15657,Masglo esmalte  gel polish trasnochadora  x 7 ml,17200 COP,masglo esmalte  gel polish trasnochadora  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15657/84181.jpg,https://almacensandra.com.co/product/p-15657-masglo-esmalte-gel-polish-trasnochadora-x-7-ml
15658,Masglo esmalte  gel polish sociable  x 7 ml,17200 COP,masglo esmalte  gel polish sociable  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15658/84182.jpg,https://almacensandra.com.co/product/p-15658-masglo-esmalte-gel-polish-sociable-x-7-ml
15659,Masglo esmalte  gel polish soltera   x 7 ml,17200 COP,masglo esmalte  gel polish soltera   x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15659/84183.jpg,https://almacensandra.com.co/product/p-15659-masglo-esmalte-gel-polish-soltera-x-7-ml
15660,Masglo esmalte  gel polish frances   x 14  ml,26800 COP,masglo esmalte  gel polish frances   x 14  ml,in stock,https://casandra-static.s3.amazonaws.com/products/15660/84184.jpg,https://almacensandra.com.co/product/p-15660-masglo-esmalte-gel-polish-frances-x-14-ml
15661,Masglo esmalte  gel polish negro  x 14  ml,26800 COP,masglo esmalte  gel polish negro  x 14  ml,in stock,https://casandra-static.s3.amazonaws.com/products/15661/84185.jpg,https://almacensandra.com.co/product/p-15661-masglo-esmalte-gel-polish-negro-x-14-ml
